,dataset,model,metric,avg_result,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
10,amazon-google,timesfm,msis_60,2.244502929338915,1.5889678713491742,1.8483960032619908,1.9515374756093071,2.00108454655772,2.022962743296779,2.048068082657228,2.124035956328591,2.127857918340864,2.1559707876262184,2.2012859140053957,2.1994703120366936,2.1932533132884506,2.206300693209748,2.2211908531709317,2.231061625588935,2.211234292206467,2.2060453644800035,2.204905107678941,2.2111204559068387,2.2074518844140085,2.213350209591429,2.225396486664978,2.232278023474662,2.2546997988699906,2.3110797798376774,2.3429929897839106,2.345533661614984,2.37456126335193,2.3535878696556427,2.3587608080717053,2.39506709149438,2.3644305557176235,2.3435522371855493,2.386932832694867,2.356862604557156,2.358956910430517,2.3342164814579176,2.3407565144759275,2.3599371263153497,2.345563719152386,2.3558446299377467,2.3538026420891076,2.370416114053756,2.381441861178314,2.383739791530771,2.3940070438255177,2.3704415324304398,2.365728827809384
11,amazon-google,timesfm,mpiqr_60,0.16826824350314581,0.14070872346306484,0.14935686782001126,0.15206203845574975,0.15791910521748856,0.16056419097390004,0.1621789837800861,0.16586005888610572,0.16489314507979846,0.1629276939137948,0.15752629747260585,0.15958403516350286,0.1617716517363658,0.16234779204764446,0.16329347832302718,0.16547661865359925,0.16654891595761379,0.16719938745986568,0.16670849902818588,0.16154393500410294,0.167424573428529,0.16700917330433096,0.1669002577002748,0.16324829261543078,0.16438595471080966,0.16872758589939443,0.17098536989927438,0.17207012035556032,0.17124077939375912,0.17447085231119303,0.17638301497784667,0.17372970952333888,0.1741602934907841,0.17373579219840218,0.17518030048760663,0.17678322445835612,0.17970051765753095,0.17990079442188475,0.17739543051652015,0.17606791913589134,0.175360366633427,0.17689854442116482,0.17412859796914232,0.17373993574800162,0.17633113715172222,0.17566100478062144,0.17524484299994147,0.1744553063588982,0.17708457716484688
12,amazon-google,timesfm,tce_40,0.03446019804526749,0.010995370370370378,0.006327160493827144,0.013811728395061729,0.009259259259259245,0.026697530864197516,0.0111111111111111,0.014313271604938255,0.03487654320987654,0.03676697530864198,0.035570987654320985,0.031751543209876554,0.040509259259259245,0.03923611111111111,0.025154320987654327,0.03753858024691359,0.030092592592592587,0.03179012345679014,0.03923611111111111,0.03229166666666666,0.021180555555555564,0.03125,0.024652777777777773,0.039274691358024694,0.03746141975308642,0.023881172839506165,0.03931327160493825,0.039429012345679,0.04347993827160493,0.02854938271604937,0.03460648148148149,0.050771604938271625,0.04864969135802469,0.04375000000000001,0.04675925925925925,0.038695987654321,0.04664351851851853,0.05285493827160492,0.05081018518518518,0.053317901234567894,0.03831018518518517,0.03337191358024691,0.04506172839506173,0.0339506172839506,0.04324845679012343,0.03375771604938271,0.04170524691358027,0.04158950617283952,0.040432098765432106
13,amazon-google,timesfm,msiw_40,0.13108252151674937,0.10514813745219018,0.11495619012030674,0.12045693906560725,0.12580337520606,0.1267343088263808,0.12788684786856216,0.12905056364303005,0.12786783929791493,0.12668325955528925,0.12666732723973817,0.12540071405936884,0.12980298584856298,0.1276982478279546,0.1283479238601475,0.12914738212393334,0.13068572899896563,0.13138104339607104,0.1289800961854547,0.12924439089257772,0.12977195867967764,0.12844082392325462,0.13079406395191306,0.13117062012558975,0.13121368776806366,0.133432086403683,0.13392329404937123,0.13286281981180093,0.1345266857418537,0.13645546140301995,0.13558867469724822,0.1342562904337569,0.13436598496964552,0.13573315548872159,0.13543460380904257,0.13441638934666741,0.13975088499768418,0.13920652499371133,0.13325812142256296,0.13816241059582143,0.13583170930403188,0.13664839062249484,0.13483460166058278,0.13598089114336329,0.13360167447488097,0.13393041412059986,0.13329332740588273,0.13575243907717952,0.1373797409137489
14,amazon-google,timesfm,msis_40,1.834455812061623,1.2726579963083133,1.4862991204653422,1.5729413420061884,1.6157592436580692,1.6397924342405348,1.657026234420485,1.7160541512165475,1.7178809926122118,1.7402655525514095,1.7696435478600956,1.7733178200079767,1.7778519531023054,1.7871861472735289,1.799983966829551,1.8061951841902408,1.7932255796381609,1.7955456811255306,1.798418960700746,1.8013365835253692,1.7952144406155663,1.8088291932061633,1.8188507217106802,1.8248029844013738,1.837215418796973,1.877715507974613,1.9141094417685096,1.9214417932114132,1.938279882442594,1.9217045829647603,1.9301175598415743,1.9643095860082895,1.9419851343483214,1.9321014308403928,1.9636294625341864,1.947361991560045,1.961399276151293,1.943046893409527,1.946677701118394,1.9506684659844635,1.9365175410606363,1.949615263360297,1.9446857115730487,1.952381428093706,1.9627935802699596,1.962701458475781,1.9735632523190663,1.9579792296517335,1.9527975535319326
15,amazon-google,timesfm,mpiqr_40,0.18205117961805986,0.1460327604040418,0.15965446631361674,0.16729406480994868,0.17471934924039567,0.17601225665295148,0.1776129360551872,0.17922913802498952,0.1775865364050344,0.1759413579556017,0.1759192306970888,0.1741601218476565,0.1802741236455216,0.17735100288918354,0.17825329166622075,0.1793636023185759,0.18150010274609932,0.18246577539821018,0.17913127079122076,0.17949833088925532,0.1802310322201323,0.17838231394836448,0.18165056144760844,0.18217353350228882,0.18223334708403127,0.18531432297467273,0.1859965262943847,0.1845237091432471,0.18683453404795194,0.18951327321371517,0.18830945488281103,0.18645900125965476,0.18661134818909358,0.18851011396546777,0.18809547679772318,0.18668135123899357,0.19409005237395696,0.19333402952885567,0.1850727154006142,0.19188393339404972,0.18864698834143714,0.1897812188679625,0.18726217654047628,0.18885417637469756,0.18554985177022457,0.18600641485428687,0.18512161048379397,0.1885368955682735,0.19079693920730464
16,amazon-google,timesfm,tce_20,0.0400245949074074,0.00856481481481483,0.005246913580246926,0.006095679012345673,0.009837962962962965,0.024691358024691357,0.007677469135802473,0.015316358024691334,0.035493827160493846,0.04193672839506171,0.04483024691358023,0.03279320987654322,0.047067901234567916,0.04849537037037038,0.03526234567901235,0.04147376543209877,0.031751543209876526,0.03946759259259258,0.04803240740740741,0.032986111111111105,0.030941358024691362,0.03429783950617285,0.03391203703703702,0.03734567901234567,0.04745370370370369,0.03202160493827161,0.038271604938271614,0.049189814814814825,0.04756944444444444,0.03584104938271604,0.04054783950617283,0.06006944444444445,0.059413580246913594,0.05439814814814814,0.053780864197530864,0.04745370370370372,0.04992283950617282,0.057253086419753074,0.05146604938271604,0.05864197530864196,0.05416666666666667,0.03931327160493825,0.053125000000000006,0.04386574074074073,0.05185185185185187,0.047029320987654305,0.05169753086419754,0.05397376543209875,0.04934413580246913
17,amazon-google,timesfm,msiw_20,0.0620928261238525,0.05146520104485538,0.05584370486022149,0.05725746552792207,0.059006117197942964,0.0602062510120438,0.05951139125643348,0.05965210305476647,0.0611511685614358,0.06004981670151836,0.05996869718317794,0.056821832889586234,0.060617223316810194,0.06184343494818174,0.06034337705618194,0.05969698265502833,0.06092565574479075,0.06345968377091694,0.06175675680746654,0.06058331235383999,0.05963248985245593,0.0642200172312476,0.06179817576787439,0.06113393380144172,0.06081297962488606,0.06345539994678999,0.0649335336027941,0.062154861197148394,0.06349341386401422,0.06402729354036815,0.06533701606505306,0.06266799561524856,0.060527918732301365,0.06470753063091787,0.06320759558272901,0.06826017350560117,0.06440571748442493,0.06476829662252276,0.06285126527808992,0.06588339945981471,0.06424312219325515,0.06408412192868759,0.06720512469350293,0.06497012087829038,0.06280880695495479,0.06504298191476739,0.06504185217452738,0.06290067358718761,0.0657196662709023
18,amazon-google,timesfm,msis_20,1.5197799507903464,1.045261309411871,1.217558491894066,1.2944145127769966,1.3319217113376778,1.3539515095546353,1.3689337667973018,1.4173617302252772,1.4168978817245217,1.4328902785466302,1.4599158664465455,1.4641070239309792,1.468809118595866,1.4776101347687893,1.4868259877188954,1.4877648632510128,1.4787205083852644,1.4877730181279871,1.488578805895731,1.4879661803948903,1.4896249942882744,1.4996664939674482,1.510125116110003,1.5097215098851045,1.518863588713649,1.550912637236368,1.5799206325708037,1.589985153712968,1.599536169527022,1.5859417972843106,1.5960481213852955,1.6302615504398112,1.6134364864730146,1.608546518906738,1.6323408727529725,1.6212345466187328,1.6360769794419983,1.6223560345458208,1.6158753724883985,1.6250008043395598,1.611512653517422,1.621752337468498,1.6182979524031498,1.6265737940316436,1.6346871501685614,1.6333607336917866,1.642473877859968,1.6328741461224894,1.625166912199889
19,amazon-google,timesfm,mpiqr_20,0.2319057378082149,0.19221343534837965,0.2085663737018894,0.21384652007618032,0.2203774251906761,0.2248597130007445,0.22226453455007092,0.22279006826222056,0.22838881314224224,0.22427545848270145,0.22397249141024356,0.21221950911995327,0.22639462196696694,0.23097430581828707,0.22537185455434602,0.22295768564189186,0.22754656260552217,0.2370107096851435,0.23065057827310645,0.22626797051013514,0.22271681641596808,0.2398504208580018,0.23080527077419294,0.22832444435792565,0.22712573720022106,0.2369947103587024,0.2425152784737863,0.23213742784941194,0.23713668562494783,0.23913063191431014,0.24402221420121162,0.23405389426353437,0.226061085118139,0.24167119729385633,0.23606920482985067,0.2549396909098369,0.24054397850246076,0.24189814753910158,0.23473837408241574,0.2460628596702327,0.2399367138099558,0.2393428759068026,0.2509992699551635,0.24265192548517267,0.23457979974513057,0.24292404858660746,0.2429198292063626,0.23492290538966049,0.24545134513065148
20,amazon-google,timesfm,tce_0,0.04178562242798354,0.013425925925925952,0.0027006172839506293,0.010416666666666657,0.0111111111111111,0.02654320987654321,0.007870370370370389,0.02608024691358024,0.03695987654320987,0.043132716049382736,0.043209876543209874,0.04205246913580249,0.05030864197530863,0.04344135802469137,0.03819444444444442,0.039274691358024666,0.03325617283950619,0.04112654320987652,0.05555555555555558,0.031095679012345667,0.03395061728395063,0.0425925925925926,0.03433641975308643,0.0425925925925926,0.041975308641975295,0.033333333333333326,0.04652777777777775,0.05462962962962961,0.05324074074074073,0.038966049382716056,0.04351851851851851,0.06550925925925924,0.0618827160493827,0.054706790123456805,0.05640432098765433,0.04498456790123459,0.055709876543209885,0.0537037037037037,0.05810185185185188,0.057716049382716045,0.04382716049382718,0.04089506172839508,0.05501543209876544,0.052314814814814814,0.0482253086419753,0.03641975308641976,0.05023148148148149,0.05810185185185188,0.050540123456790126
21,amazon-google,timesfm,msiw_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,amazon-google,timesfm,msis_0,1.2534207646214246,0.8613325368459058,1.0011408528276882,1.0667788704291157,1.0989949716884881,1.1162179147621987,1.128838239547375,1.1691690934241659,1.1664180852195558,1.1800726572244304,1.2002868300509137,1.2078952900492397,1.2105912874027107,1.2175288311438266,1.2241134810238248,1.2241595930118068,1.218780431703266,1.226879658866487,1.2328179612995764,1.226803050252664,1.2284293353045384,1.2392455164639136,1.2467342989418442,1.2470405166380112,1.24822381886587,1.2777194739000206,1.3032954397845695,1.3113927864087127,1.316935452729136,1.3067174790373968,1.313299736175607,1.3441914720848194,1.3304790457069742,1.3275669358030304,1.3473708542762213,1.3376551496320863,1.3516850252914039,1.3391707451737846,1.3359787958342932,1.341320604386273,1.3280350076615783,1.3398552163812043,1.3389307124413203,1.34460926775577,1.346397459498091,1.346226853664277,1.3555405680499475,1.3481863613158023,1.343143135848651
